<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
30/05/18;01:00:00;62.8711000;62.9095000;62.8420000;62.8678000;59
30/05/18;02:00:00;62.8800000;62.8985000;62.8410000;62.8628000;44
30/05/18;03:00:00;62.8531000;62.8850000;62.8473000;62.8473000;73
30/05/18;04:00:00;62.8673000;62.8819000;62.8400000;62.8671000;57
30/05/18;05:00:00;62.8584000;62.8744000;62.8501000;62.8550000;44
30/05/18;06:00:00;62.8479000;62.8803000;62.8425000;62.8582000;45
30/05/18;07:00:00;62.8520000;62.8788000;62.8400000;62.8588000;49
30/05/18;08:00:00;62.8621000;62.8688000;62.8255000;62.8265000;103
30/05/18;09:00:00;62.8546000;62.8752000;62.7903000;62.8229000;873
30/05/18;10:00:00;62.8410000;62.8410000;62.6250000;62.6675000;2860
30/05/18;11:00:00;62.6690000;62.6857000;62.4707000;62.5206000;29122
30/05/18;12:00:00;62.5726000;62.6397000;62.4786000;62.5598000;26908
30/05/18;13:00:00;62.5614000;62.5950000;62.3724000;62.4070000;30299
30/05/18;14:00:00;62.4238000;62.5363000;62.3595000;62.4548000;22230
30/05/18;15:00:00;62.4541000;62.4710000;62.1937000;62.2668000;28801
30/05/18;16:00:00;62.2660000;62.2891000;62.0865000;62.2538000;36618
30/05/18;17:00:00;62.2538000;62.4176000;62.1811000;62.3561000;28066
30/05/18;18:00:00;62.4073000;62.4388000;62.1953000;62.2549000;26510
30/05/18;19:00:00;62.2573000;62.3338000;62.0805000;62.1364000;24483
30/05/18;20:00:00;62.1364000;62.1480000;61.9522000;61.9997000;15888
30/05/18;21:00:00;61.9977000;62.0838000;61.9600000;62.0615000;8407
30/05/18;22:00:00;62.0792000;62.1180000;61.9825000;62.0418000;8194
30/05/18;23:00:00;62.0441000;62.0959000;61.9981000;62.0589000;5767
31/05/18;00:00:00;62.0393000;62.2250000;61.9232000;62.0830000;3611
31/05/18;01:00:00;62.0957000;62.1699000;62.0067000;62.1267000;158
31/05/18;02:00:00;62.1395000;62.1450000;62.0780000;62.1033000;57
31/05/18;03:00:00;62.0849000;62.1271000;62.0790000;62.1271000;41
31/05/18;04:00:00;62.1316000;62.1484000;62.0632000;62.0748000;217
31/05/18;05:00:00;62.0808000;62.1361000;62.0697000;62.1252000;146
31/05/18;06:00:00;62.1415000;62.1698000;62.1080000;62.1365000;263
31/05/18;07:00:00;62.1517000;62.3770000;62.1315000;62.2062000;382
31/05/18;08:00:00;62.2014000;62.2185000;62.0930000;62.1419000;174
31/05/18;09:00:00;62.1180000;62.1416000;62.0955000;62.1217000;73
31/05/18;10:00:00;62.1270000;62.1630000;61.9953000;62.0518000;2111
31/05/18;11:00:00;62.0522000;62.1360000;61.8903000;62.0022000;30824
31/05/18;12:00:00;62.0081000;62.0322000;61.8882000;61.9467000;25520
31/05/18;13:00:00;61.9906000;62.0739000;61.8955000;62.0719000;26777
31/05/18;14:00:00;62.0719000;62.1156000;61.9802000;62.0686000;25892
31/05/18;15:00:00;62.0646000;62.0736000;61.9179000;61.9967000;19785
31/05/18;16:00:00;61.9931000;62.0755000;61.9281000;62.0403000;19822
31/05/18;17:00:00;62.0395000;62.2299000;61.9970000;62.1895000;15215
